# STC Forecast Net Basin Supply (NBS)
# 50% forecast from Picked model for Bulletin forecasts
# Year and month columns specify the month the forecast was conducted.
# For example, for the "2002 Nov" row, the forecast
# was conducted at the beginning of November, 2002. For this row:
# Column "one" represents the forecast for November produced in November 2002,
# Column "two" represents the forecast for December produced in November 2002
# Column "three" represents the forecast for January 2003 produced in November 2002
# etc.
# Last modified 2016-12-08 06:33:49 by LMF
#
"year","month","one","two","three","four","five","six"
"2015","Apr",402,280,200,152,110,110
"2015","May",280,200,152,110,110,132
"2015","Jun",200,152,110,110,132,150
"2015","Jul",152,110,110,132,150,280
"2015","Aug",110,110,132,150,280,365
"2015","Sep",110,132,150,280,365,432
"2015","Oct",132,150,280,365,432,443
"2015","Nov",150,280,365,432,443,402
"2015","Dec",280,365,432,443,402,280
"2016","Jan",365,432,443,402,280,200
"2016","Feb",432,443,402,280,200,152
"2016","Mar",443,402,280,200,152,110
"2016","Apr",402,280,200,152,110,110
"2016","May",280,200,152,110,110,132
"2016","Jun",200,152,110,110,132,150
"2016","Jul",152,110,110,132,150,280
"2016","Aug",110,110,132,150,280,365
"2016","Sep",110,132,150,280,365,432
"2016","Oct",110,132,150,280,365,443
"2016","Nov",132,150,280,365,443,402
"2016","Dec",280,365,432,443,402,280
